"topic","type","content","pedagogical_objective","audience","difficulty_level","category"
"Le fonctionnement du marché actions sur la BRVM","article","","Décrire les étapes de la cotation, les types d’ordres, le carnet d’ordre","Afrique","Intermédiaire","Afrique"
"Quelles sont les valeurs les plus échangées sur la BRVM ?","article","","Faire un panorama des valeurs les plus liquides","Afrique + Diaspora","Débutant","Afrique"
"BRVM 10 vs BRVM Composite : quelles différences ?","article","","Expliquer les indices BRVM","Afrique","Débutant","Afrique"
"Quels secteurs sont représentés à la BRVM ?","article","","Faire un tour des secteurs (banques, télécoms, distribution…)","Afrique + Diaspora","Débutant","Afrique"
"Comprendre le calendrier boursier de la BRVM","article","","Expliquer le calendrier des publications, AG, dividendes","Afrique","Débutant","Afrique"
"La fiscalité des revenus de la BRVM","article","","Expliquer la fiscalité des dividendes et plus-values en zone UEMOA","Afrique + Diaspora","Intermédiaire","Afrique"
"Quelle stratégie pour débuter en investissant sur la BRVM ?","article","","Donner des conseils simples pour les débutants","Afrique + Diaspora","Débutant","Afrique"
"Les plus grandes capitalisations de la BRVM","article","","Dresser un panorama des plus grandes entreprises cotées","Afrique + Diaspora","Débutant","Afrique"
"Quelles sont les entreprises à dividendes intéressantes sur la BRVM ?","article","","Faire découvrir les sociétés versant des dividendes attractifs","Afrique + Diaspora","Intermédiaire","Afrique"
"Le rôle des SGO et des courtiers agréés BRVM","article","","Expliquer le rôle des intermédiaires","Afrique + Diaspora","Débutant","Afrique"
"Comment fonctionne le compte titre BRVM pour les particuliers ?","article","","Expliquer le fonctionnement et l'ouverture d'un compte titre","Afrique + Diaspora","Débutant","Afrique"
"Quels sont les risques spécifiques de la BRVM ?","article","","Expliquer les risques spécifiques liés au marché","Afrique + Diaspora","Intermédiaire","Afrique"
"Pourquoi la BRVM est-elle un marché régional unique ?","article","","Expliquer ce qui différencie la BRVM des autres marchés","Afrique + Monde","Intermédiaire","Afrique"
"Comment comparer la BRVM aux autres marchés africains ?","article","","Expliquer comment la BRVM se positionne par rapport au NSE, JSE...","Afrique + Monde","Avancé","Afrique"
"Le rôle de la BCEAO dans la régulation du marché financier UEMOA","article","","Expliquer le rôle de la BCEAO pour la stabilité du marché","Afrique","Intermédiaire","Afrique"
"Comment construire un portefeuille diversifié BRVM ?","article","","Donner une méthode pour diversifier ses positions","Afrique + Diaspora","Intermédiaire","Afrique"
"Les erreurs fréquentes des débutants sur la BRVM","article","","Lister les erreurs classiques et comment les éviter","Afrique + Diaspora","Débutant","Afrique"
"L'impact de la politique monétaire américaine sur les marchés africains","article","","Comprendre le lien dollar / politique Fed / Afrique","Afrique","Intermédiaire","Géopolitique & Macro"
"Zone franc CFA : avantages et critiques pour l’investissement","article","","Expliquer le fonctionnement et les enjeux de la zone CFA","Afrique","Intermédiaire","Afrique / Géopolitique & Macro"
"Comment la guerre en Ukraine a bousculé les marchés mondiaux","article","","Étude de cas d’un choc géopolitique sur les actifs","Tous","Avancé","Géopolitique & Macro"
"La dédollarisation mondiale : mythe ou réalité ?","article","","Vulgariser les débats sur la fin du dollar dominant","Tous","Intermédiaire","Géopolitique & Macro"
"Le rôle de l’OMC dans la régulation du commerce mondial","article","","Comprendre le rôle de l’OMC et les contentieux commerciaux","Tous","Débutant","Géopolitique & Macro"
"Nationalisations : menace ou opportunité pour les investisseurs ?","article","","Comprendre les impacts d’une vague de nationalisations","Afrique / émergents","Intermédiaire","Géopolitique & Macro"
"Les pays exportateurs de pétrole : moteur ou frein des marchés ?","article","","Comprendre l’influence des pays de l’OPEP","Tous","Intermédiaire","Géopolitique & Macro"
"L’Afrique dans la guerre commerciale Chine - USA","article","","Comprendre les effets de la rivalité sino-américaine sur les marchés africains","Afrique","Intermédiaire","Géopolitique & Macro"
"Les risques géopolitiques à surveiller en 2025","article","","Anticiper les tensions géopolitiques majeures et leur effet sur l’investissement","Tous","Avancé","Géopolitique & Macro"
"Pourquoi le dollar reste la devise dominante en finance mondiale","article","","Expliquer le rôle clé du dollar","Tous","Intermédiaire","Géopolitique & Macro"
"Guerre commerciale USA-Chine : quels impacts sur les marchés ?","article","","Comprendre les effets d’une guerre commerciale","Tous","Intermédiaire","Géopolitique & Macro"
"Les nouveaux grands blocs économiques mondiaux","article","","Comprendre les alliances économiques (BRICS+, UE, USMCA...)","Tous","Intermédiaire","Géopolitique & Macro"
"L’essor des ETF dans le monde : révolution pour les investisseurs","article","","Expliquer le succès mondial des ETF","Tous","Débutant","Comprendre les marchés"
"Comment les géants de la tech influencent les marchés mondiaux","article","","Comprendre l’effet de la tech sur les indices mondiaux","Tous","Intermédiaire","Comprendre les marchés"
"Les matières premières : pourquoi les surveiller quand on investit ?","article","","Expliquer leur influence clé sur les marchés","Tous","Intermédiaire","Comprendre les marchés"
"Les meilleures stratégies pour investir en période de forte inflation mondiale","article","","Conseils pratiques en période d’inflation globale","Tous","Intermédiaire","Investir"
"Panorama des grandes entreprises cotées en Afrique","article","","Découvrir les principales sociétés africaines cotées","Afrique + Diaspora","Intermédiaire","Afrique"
"Comment les diasporas africaines investissent-elles dans les marchés africains ?","article","","Comprendre les flux et stratégies d’investissement des diasporas","Diaspora Afrique","Intermédiaire","Afrique"
"Les ETF Afrique : une solution pour investir facilement ?","article","","Présenter les ETF existants sur l’Afrique","Afrique + Europe + Monde","Débutant","Afrique"
"faire un escérie sur ls Les bulles spéculatives célèbres et crises eco","article","","","","",""
"Les crises financières historiques expliquées","article","","Analyser les grandes crises financières","Tous","Avancé","Comprendre les marchés"
